Job_Role,Company,Experience,Salary,Location,Key_Skills,Post_History,machine learning,python,data science,analytical,artificial intelligence,it skills,big data,data analysis
machine learning engineer iii,Phenompeople,6-11 Yrs,2000000 - 2700000 PA.,Hyderabad,"product management,computer science,deep learning,data science,coding,machine learning,agile,data processing",1 Day Ago,1,0,1,0,0,0,0,0
applied machine learning engineer,Flixdrop Technology,1-3 Yrs,800000 - 1100000 PA.,Bangalore(Singasandra),"pytorch,machine learning,computer vision,python,elasticsearch,spark,tensorflow,presto",2 Days Ago,1,1,0,0,0,0,0,0
machine learning ops lead,Dell,4-9 Yrs,1400000 - 1900000 PA.,Bangalore,"data transformation,data mining,machine learning,it skills,java,big data,data science,c#",1 Day Ago,1,0,1,0,0,1,1,0
google cloud machine learning services application developer,Accenture,8-10 Yrs,1600000 - 2800000 PA.,Bangalore,"pub,gcp,communication,cloud dataflow,agile,cloud bigquery,written,verbal",1 Day Ago,0,0,0,0,0,0,0,0
google cloud machine learning services application developer,Accenture,6-8 Yrs,1100000 - 1900000 PA.,Bangalore,"pub,cloud bigquery,written,dataflow,verbal,communication,gcp,agile",1 Day Ago,0,0,0,0,0,0,0,0
technology services-program manager-machine learning,eClerx,5-10 Yrs,1800000 - 2500000 PA.,Mumbai,"spark,machine learning,python,it skills,aws,tensorflow,c++,c",1 Day Ago,1,1,0,0,0,1,0,0
artificial intelligence & machine learning expert,Infosys,3-8 Yrs,1400000 - 1800000 PA.,Bangalore,"azure ml,artificial intelligence,machine learning,theano,reinforcement learning,learning,ai,keras",4 Days Ago,1,0,0,0,1,0,0,0
research scientist (artificial intelligence/machine learning-robotics),Intel,4-8 Yrs,1300000 - 1900000 PA.,Bangalore,"computer science,deep learning,simulation,analytical,artificial intelligence,machine learning,system software,matlab",12 Days Ago,1,0,0,1,1,0,0,0
senior machine learning engineer,Poshmark,2-5 Yrs,600000 - 1300000 PA.,Chennai,"data science,focus,machine learning,scala,data structures,wbs,mongodb,analytics",1 Day Ago,1,0,1,0,0,0,0,0
machine learning operations specialist - big data/ai,Axcess Consultancy Services,5-9 Yrs,1200000 - 1900000 PA.,"Bangalore, Karnataka","artificial intelligence,data analytics,machine learning,it skills,cloud,devops,big data,jenkins",Today,1,0,0,0,1,1,1,0
data scientist - python/ matlab/ machine learning algorithms,Wrackle Technologies Pvt Ltd,3-8 Yrs,1100000 - 1700000 PA.,Bangalore,"python,data analysis,data mining,mining,machine learning,statistical analysis,written,verbal communication",14 Days Ago,1,1,0,0,0,0,0,1
lead data scientist - machine learning/ data mining,Wrackle Technologies Pvt Ltd,6-11 Yrs,2000000 - 2500000 PA.,Bangalore,"python,data analysis,data mining,r,machine learning,written,verbal communication,statistical analysis",14 Days Ago,1,1,0,0,0,0,0,1
data scientist - machine learning/apics,CarbyneTech India,3-8 Yrs,1300000 - 1700000 PA.,Hyderabad,"data science,r,nlp,artificial intelligence,data management,machine learning,python,predictive analytics",14 Days Ago,1,1,1,0,1,0,0,0
lead data scientist - deep learning/machine learning,Confidential,4-9 Yrs,1200000 - 1700000 PA.,Bangalore,"written,cluster analysis,linear regression,caffe,verbal,gradient descent,pytorch,sas",3 Days Ago,0,0,0,0,0,0,0,0
lead data scientist - deep learning/machine learning,Confidential,2-7 Yrs,800000 - 1100000 PA.,Bangalore,"it skills,python,machine learning,r,opencv,data scientist,data management,time series forecasting",5 Days Ago,1,1,0,0,0,1,0,0
hiring for data scientist (machine learning) for an mnc product based,PERSOLKELLY INDIA PRIVATE LIMITED    ,6-11 Yrs,1600000 - 2500000 PA.,Pune(WFH during Covid),"time series,machine learning algorithms,machine learning",2 Days Ago,1,0,0,0,0,0,0,0
machine learning data science practitioner,Accenture,4-6 Yrs,1300000 - 1900000 PA.,Noida,"python,gcp,analytical,azure,verbal,etl,written,knime",1 Day Ago,0,1,0,1,0,0,0,0
machine learning data science practitioner,Accenture,4-6 Yrs,1400000 - 1900000 PA.,Mumbai,"it skills,python,data science,machine learning,big data,aws,azure,operations research",1 Day Ago,1,1,1,0,0,1,1,0
machine learning data science practitioner,Accenture,4-6 Yrs,1200000 - 1900000 PA.,Pune,"python,gcp,analytical,azure,verbal,etl,written,knime",1 Day Ago,0,1,0,1,0,0,0,0
machine learning data science practitioner,Accenture,4-6 Yrs,1400000 - 1900000 PA.,Hyderabad,"operations research,data science,gcp,analytical,consulting,machine learning,data processing,subject matter expert",1 Day Ago,1,0,1,1,0,0,0,0
machine learning data science practitioner,Accenture,6-8 Yrs,1100000 - 1900000 PA.,Pune,"data science,etl,verbal,big data processing,python,machine learning,written,analytical",1 Day Ago,1,1,1,1,0,0,1,0
machine learning data science practitioner,Accenture,4-6 Yrs,1300000 - 1700000 PA.,Mumbai,"data science,etl,verbal,big data processing,python,machine learning,written,analytical",1 Day Ago,1,1,1,1,0,0,1,0
data science engineer - machine/deep learning models - r/python/scala,CarbyneTech India,4-8 Yrs,1300000 - 1900000 PA.,Hyderabad,"deep learning models,machine learning,data science,tensorflow,artificial intelligence,scala,hadoop,big data",6 Days Ago,1,0,1,0,1,0,1,0
senior software developer - nlp/machine learning/data science,Cunesoft India Private Limited (a Phlexglobal Company),5-8 Yrs,1300000 - 1700000 PA.,Bangalore,"machine learning,data science,nlp,it skills,java,python,testing,cloud",14 Days Ago,1,1,1,0,0,1,0,0
senior machine learning engineer - intelligent video analytics,NVIDIA,6-11 Yrs,1900000 - 2600000 PA.,Pune,"graphics,training,analytical skills,production management,automation,neural networks,machine learning,sdk",3 Days Ago,1,0,0,1,0,0,0,0
data science - machine learning engineer,BCG Attorney Search ,5-8 Yrs,"9,50,000 - 18,00,000 PA.",Ahmedabad (WFH during Covid),"algorithms,business intelligence,visualization,statistician,predictive analytics,big data,data mining,machine learning",5 Days Ago,1,0,0,0,0,0,1,0
machine learning engineer,Hexaware Technologies,5-9 Yrs,1100000 - 1900000 PA.,"Pune, Chennai, Mumbai (All Areas)(WFH during Covid)","python,machine learning,debugging,java,verbal,written communication,analytical,troubleshooting",Few Hours Ago,1,1,0,1,0,0,0,0
machine learning engineer | advance auto parts,TALENT500 TECH (INDIA) PRIVATE LIMITED,1-4 Yrs,800000 - 1100000 PA.,Hyderabad,"machine learning,python",Today,1,1,0,0,0,0,0,0
artificial intelligence/ machine learning engineer (nlp/python),EndoSoft Solutions Pvt Ltd,2-6 Yrs,700000 - 1400000 PA.,Bangalore(Whitefield)(WFH during Covid),"artificial intelligence,natural language processing,machine learning,tensorflow,azure,kubeflow,java,network architectures",4 Days Ago,1,0,0,0,1,0,0,0
lead machine learning engineer,Kimberly-Clark Lever Limited,12-17 Yrs,1700000 - 2600000 PA.,Bangalore,"computer science,deep learning,c++,data science,neural networks,analytical,machine learning,linear regression",7 Days Ago,1,0,1,1,0,0,0,0
machine learning engineer - btp core,SAP India Pvt.Ltd,3-8 Yrs,1400000 - 1800000 PA.,Bangalore,"machine learning,software development,data science,it skills,java,python,cloud,devops",3 Days Ago,1,1,1,0,0,1,0,0
senior software engineer - machine learning,Novartis Healthcare,7-12 Yrs,1900000 - 2500000 PA.,Hyderabad,"it services,computer science,data security,machine learning,debugging,agile,clinical trials,data collection",8 Days Ago,1,0,0,0,0,0,0,0
manager - machine learning engineer ( data science ) ( females only ),Pylon Management Consulting Pvt Ltd ,7-9 Yrs,1700000 - 2100000 PA.,Remote,"machine learning,deep learning,python,it skills,java,software development,data science,cloud",8 Days Ago,1,1,1,0,0,1,0,0
machine learning engineer - data modeling/predictive modeling,Marktine,3-6 Yrs,1300000 - 1800000 PA.,Remote,"predictive modeling,data modeling,machine learning,it skills,data quality,rnn,data pipeline,dnn",14 Days Ago,1,0,0,0,0,1,0,0
data scientist - machine learning/python,CarbyneTech India,3-8 Yrs,1400000 - 1900000 PA.,Hyderabad,"predictive modeling,r,data scientist,data management,machine learning,python,sql",14 Days Ago,1,1,0,0,0,0,0,0
data scientist - image processing/machine learning,CarbyneTech India,6-11 Yrs,1900000 - 2700000 PA.,Hyderabad,"predictive modeling,data science,data scientist,time series analysis,image processing,data management,machine learning,predictive analytics",14 Days Ago,1,0,1,0,0,0,0,0
data scientist - image processing/ machine learning,CarbyneTech India,6-11 Yrs,2000000 - 2700000 PA.,Hyderabad,"predictive modeling,data science,data scientist,time series analysis,image processing,data management,statistical analyst,machine learning",14 Days Ago,1,0,1,0,0,0,0,0
lead data scientist - statistical modeling/machine learning,Bigtapp Analytics,5-8 Yrs,1100000 - 1900000 PA.,Chennai,"data science,tensorflow,nosql,data scientist,hadoop,statistical modeling,hdfs,algorithm",14 Days Ago,0,0,1,0,0,0,0,0
carbynetech - data scientist - machine learning/python,CarbyneTech India,3-8 Yrs,1400000 - 1800000 PA.,Hyderabad,"r,python,sql,predictive modeling,data management,machine learning",8 Days Ago,1,1,0,0,0,0,0,0
data engineer - python / machine learning,Vanguard Talent Hub,6-9 Yrs,1300000 - 1800000 PA.,Delhi / NCR,"python,django,flask,vagrant,cicd,docker,microservices,devops",14 Days Ago,0,1,0,0,0,0,0,0
machine learning engineer - python,Marktine,4-9 Yrs,1100000 - 1900000 PA.,"Jaipur, Bangalore, Delhi / NCR","machine learning,forecasting,python,spacy,nltk,tensorflow,cluster analysis,ensemble machine learning",14 Days Ago,1,1,0,0,0,0,0,0
software engineer - machine learning,Novartis Healthcare,4-9 Yrs,1300000 - 1800000 PA.,Hyderabad,"it services,computer science,data security,machine learning,debugging,agile,clinical trials,data collection",8 Days Ago,1,0,0,0,0,0,0,0
machine learning engineer - data science,Yo HR Consultancy,3-5 Yrs,800000 - 1400000 PA.,Bangalore,"data science,data modeling,machine learning,linux,numpy,python,azure,datarobot",4 Days Ago,1,1,1,0,0,0,0,0
data scientist - machine learning,Career Infosystem,1-5 Yrs,600000 - 1300000 PA.,Noida,"mongodb,ml domain,machine learning,predictive modeling,spark,python,deep learning stack,nlp",3 Days Ago,1,1,0,0,0,0,0,0
machine learning engineer (image processor),Serviam Manpower,2-4 Yrs,800000 - 1300000 PA.,Gurgaon,"analytical,machine learning,computer vision,data scientist,computer vision,strong analytical skills,machine learning,deep learning",1 Day Ago,1,0,0,1,0,0,0,0
google cloud machine learning lead,Accenture,13-17 Yrs,1700000 - 2800000 PA.,"Pune, Bangalore, Mumbai (All Areas)","it skills,java,python,cloud,aws,azure,google cloud services,data",2 Days Ago,0,1,0,0,0,1,0,0
machine learning lead / architect - looking for early joiners - wipro,Wipro,5-10 Yrs,1600000 - 2700000 PA.,"Kochi/Cochin, Kolkata, Gurgaon, Chennai, Coimbatore, Bangalore, Mumbai (All Areas), Pune, Hyderabad(WFH during Covid)","computer vision,machine learning,python,it skills,cloud,pytorch,tensorflow,artificial intelligence",14 Days Ago,1,1,0,0,1,1,0,0
r&d engineer - image/video processing - machine learning algorithms,CRUX Consulting Services,6-8 Yrs,1200000 - 1700000 PA.,Hosur,"it skills,python,machine learning,cloud,video processing, pytorch,image processing, python",3 Days Ago,1,1,0,0,0,1,0,0
senior machine learning engineer ,Wolters Kluwer,4-8 Yrs,1200000 - 1900000 PA.,"Kalyani, Pune","computer science,deep learning,data analysis,machine learning,agile,healthcare,open source,forecasting",5 Days Ago,1,0,0,0,0,0,0,1
senior machine learning engineer,TIKET INTERNATIONAL NETWORK PRIVATE LIMITED ,5-8 Yrs,1400000 - 1700000 PA.,"Noida, Delhi / NCR(WFH during Covid)","tensorflow,python,java,pytorch,typing,machine learning,artificial intelligence,programming",6 Days Ago,1,1,0,0,1,0,0,0
senior/lead data scientist - machine learning/deep learning,Squareroot Consulting Pvt Ltd.,1-6 Yrs,800000 - 900000 PA.,Bangalore,"visualization,exploratory testing,machine learning,phd,deep learning,.,data structure,nlp",7 Days Ago,1,0,0,0,0,0,0,0
research scientist/engineer - computer vision/machine learning,Career Maker,4-9 Yrs,1100000 - 1700000 PA.,Hyderabad,"image processing,computer vision,machine learning,written,multi - threading,verbal,communication,ocr",5 Days Ago,1,0,0,0,0,0,0,0
machine learning operations specialist - big data/ai,Axcess Consultancy Services,5-9 Yrs,1100000 - 1900000 PA.,Bangalore,"artificial intelligence,machine learning operations,data analytics,it skills,machine learning,cloud,devops,big data",7 Days Ago,1,0,0,0,1,1,1,0
data scientist - machine learning/deep learning,Serving Skill,4-6 Yrs,1100000 - 1900000 PA.,Bangalore,"data science,tensorflow,elasticsearch,data scientist,data mining,mongodb,algorithm,machine learning",14 Days Ago,1,0,1,0,0,0,0,0
data analytics manager - machine learning algorithms,Confidential,9-14 Yrs,2000000 - 2600000 PA.,Bangalore,"data ingestion,datalake,bigquery,artificial intelligence,google cloud platform,big data,data analytics manager,data analytics",5 Days Ago,0,0,0,0,1,0,1,0
data scientist - machine learning,Synctactic AI,8-13 Yrs,1600000 - 2500000 PA.,Bangalore,"big data,deep learning,data mining,machine learning,data science,nlp,java,c",14 Days Ago,1,0,1,0,0,0,1,0
data science engineer- machine/deep learning models- r/python/scala,CarbyneTech India,4-8 Yrs,1300000 - 1700000 PA.,Hyderabad,"data science,tensorflow,r,artificial intelligence,scala,time series forecasting,big data,machine learning",14 Days Ago,1,0,1,0,1,0,1,0
data scientist - machine/deep learning algorithms,CarbyneTech India,3-8 Yrs,1200000 - 1900000 PA.,Hyderabad,"ai,r,neural networks,anaconda,deep learning,ml,python,machine learning",14 Days Ago,1,1,0,0,0,0,0,0
data science/analysis expert - machine learning,Catalyst,2-6 Yrs,700000 - 900000 PA.,Bangalore,"it skills,python,data science,machine learning,tableau,nlp,data scientist,artificial intelligence",14 Days Ago,1,1,1,0,1,1,0,0
computer vision/ machine learning expert - c/c++,Career Maker,3-6 Yrs,1300000 - 1700000 PA.,Bangalore,"k-means,boosting,svm,knn,deep learning,expression analysis,scene analysis,software architecture",1 Day Ago,0,0,0,0,0,0,0,0
urgent opening for artificial intelligence/machine learning,Orcapod Consulting Services Private Limited  ,4-9 Yrs,1200000 - 1700000 PA.,"Hyderabad, Bangalore","it skills,python,data science,machine learning,artificial intelligence,oracle,sql queries,application support",1 Day Ago,1,1,1,0,1,1,0,0
urgent opening for machine learning engineer,Genius Consultants Limited  ,5-10 Yrs,1600000 - 2500000 PA.,Bangalore,"python,open source,mlops,build,linux,jenkins,terraform,bash",7 Days Ago,0,1,0,0,0,0,0,0
machine learning engineer - computer vision,Scandid,4-8 Yrs,1400000 - 1800000 PA.,Pune,"computer vision,machine learning,tensorflow,it skills,python,ios development,testing,data science",8 Days Ago,1,1,1,0,0,1,0,0
nlp engineer - machine learning/named entity recognition,Wrackle Technologies Pvt Ltd,4-9 Yrs,1100000 - 1900000 PA.,Bangalore,"data structures,natural language processing,python,machine learning,it skills,software development,named entity recognition,nlp",14 Days Ago,1,1,0,0,0,1,0,0
embedded ai engineer - machine learning/computer vision,e-con Systems,4-6 Yrs,1100000 - 1900000 PA.,Chennai,"image processing,data structures,c++,computer vision,machine learning,embedded c++,ai - embedded products,algorithms",14 Days Ago,1,0,0,0,0,0,0,0
sr. machine learning engineer (sr. ai),Teksun Microsys Pvt. Ltd.,3-8 Yrs,1300000 - 1900000 PA.,Ahmedabad,"statistical analysis,machine learning,deep learning,algorithms,it skills,data science,embedded c,git",13 Days Ago,1,0,1,0,0,1,0,0
data scientist - machine learning,TalPro,3-6 Yrs,1100000 - 1800000 PA.,"Gurgaon, Delhi / NCR","it skills,python,data science,machine learning,product management, machine learning, data management, random forests",5 Days Ago,1,1,1,0,0,1,0,0
data science trainer | ai | machine learning | python |,Careerera,2-7 Yrs,"4,75,000 - 9,75,000 PA.",Noida(Sector-59 Noida),"communication,python,algorithms,machine learning,it skills,data science,data science faculty,corporate trainer",2 Days Ago,1,1,1,0,0,1,0,0
big data / data science / machine learning / solution architect,Micron Tech,2-7 Yrs,800000 - 1100000 PA.,Hyderabad,"big data,machine learning,data science,java,hadoop,flume,data engineering,hbase",6 Days Ago,1,0,1,0,0,0,1,0
