Job_Role,Company,Experience,Salary,Location,Key_Skills,Post_History,machine learning,python,data science,analytical,artificial intelligence,it skills,big data,data analysis
data scientist and director data scientist,OyoRooms,2-7 Yrs,"15,00,000 - 30,00,000 PA.","Hyderabad, Gurgaon, Bangalore, Delhi / NCR","data science,analytical,analysts,machine learning,deep learning",20 Days Ago,1,0,1,1,0,0,0,0
data scientist,Netcore Solutions Pvt Ltd,3-7 Yrs,1300000 - 1700000 PA.,"Mumbai, Bengaluru","c++,product engineering,nosql,business analytics,artificial intelligence,mysql,machine learning,mongodb",30+ Days Ago,1,0,0,0,1,0,0,0
lead data scientist,Xpheno,5-8 Yrs,1300000 - 1900000 PA.,"Mumbai, Hyderabad, Pune, Chennai, Bangalore","project development,deep learning,data science,gcp,machine learning,deployment,data visualization,analytics",26 Days Ago,1,0,1,0,0,0,0,0
data scientist,Mobiotics IT Solution Pvt Ltd,2-5 Yrs,"5,00,000 - 10,00,000 PA.",Bangalore(HSR Layout),"it skills,python,data science,cloud,big data,aws,azure,big data analytics",7 Days Ago,0,1,1,0,0,1,1,0
business data scientist - bangalore,"Pantheon India Pvt Ltd.,",2-3 Yrs,700000 - 900000 PA.,Bangalore,"artificial intelligence,data scientist,data modeling,bi tools,opportunity identification,data collection,machine learning,cloud technologies",30 Days Ago,1,0,0,0,1,0,0,0
data scientist - ai ml team,CustomerXPs Software Pvt Ltd,8-13 Yrs,1900000 - 2800000 PA.,Bengaluru,"it skills,python,data science,machine learning,artificial intelligence,big data,computer science,automation",30+ Days Ago,1,1,1,0,1,1,1,0
principal data scientist,Walmart,7-12 Yrs,2000000 - 2700000 PA.,Bangalore,"deep learning,statistical modeling,data science,web analytics,neural networks,machine learning,big data,principal",30+ Days Ago,1,0,1,0,0,0,1,0
data scientist,Innominds Software Pvt Ltd,2-7 Yrs,800000 - 1100000 PA.,"Hyderabad, Bangalore","tensorflow,java,data science,scikit,python,predictive modeling,keras,visualization",30+ Days Ago,0,1,1,0,0,0,0,0
data scientist  1,AgreeYa,5-7 Yrs,1300000 - 1900000 PA.,Bengaluru,"it skills,python,machine learning,cloud,aws,azure,training,cloud computing",30+ Days Ago,1,1,0,0,0,1,0,0
data science architect,I Square Soft    ,10-15 Yrs,1700000 - 2800000 PA.,"Mysore/Mysuru, Chennai, Bangalore(WFH during Covid)","artificial intelligence,machine learning algorithms,power bi,big data,kafka,tableau,informatica,matlab",5 Days Ago,1,0,0,0,1,0,1,0
data science architect,I Square Soft    ,10-15 Yrs,1600000 - 2600000 PA.,"Mysore/Mysuru, Chennai, Bangalore(WFH during Covid)","artificial intelligence,machine learning algorithms,power bi,big data,kafka,tableau,informatica,matlab",5 Days Ago,1,0,0,0,1,0,1,0
devrel data scientist,TruEra,2-7 Yrs,800000 - 1300000 PA.,Bangalore,"product management,computer science,supply chain management,interpersonal skills,data science,artificial intelligence,machine learning,troubleshooting",30+ Days Ago,1,0,1,0,1,0,0,0
zscaler data scientist,cloudneeti,7-12 Yrs,1900000 - 2600000 PA.,Bangalore,"cloud security,algorithms,cloud services,data scientist,computer science,aws,distributed systems,machine learning",30+ Days Ago,1,0,0,0,0,0,0,0
tech lead - data science engineer,Myntra,2-5 Yrs,700000 - 1100000 PA.,Bangalore,"data science,c + +,augmented reality,problem solving,machine learning,deep learning,android",30+ Days Ago,1,0,1,0,0,0,0,0
data scientist,SplashLearn,4-9 Yrs,1100000 - 1800000 PA.,Gurgaon,"computer science,customer segmentation,data analysis,usage,statistical analysis,data science,analytical,machine learning",8 Days Ago,1,0,1,1,0,0,0,1
data scientist,Michelin,2-6 Yrs,600000 - 1200000 PA.,Pune,"bpo,data analysis,machine learning,deployment,testing",8 Days Ago,1,0,0,0,0,0,0,1
data scientist,Fundnel Limited,3-5 Yrs,700000 - 1400000 PA.,Mumbai,"mining,computer science,logistic regression,financial statements,data science,data modeling,machine learning,data mining",8 Days Ago,1,0,1,0,0,0,0,0
data science digital data engineering practitioner,Accenture,15-18 Yrs,2100000 - 3800000 PA.,Bangalore,"it skills,data science,machine learning,big data,computer science,deep learning,analytical,consulting",30 Days Ago,1,0,1,1,0,1,1,0
acn - applied intelligence - solutions.ai - data engineering - 09,Accenture,3-6 Yrs,1400000 - 1900000 PA.,Bangalore,"it skills,machine learning,artificial intelligence,cloud,usage,networking,analytical,consulting",30 Days Ago,1,0,0,1,1,1,0,0
protegrity - data engineer,Protegrity,2-5 Yrs,700000 - 1100000 PA.,Bangalore,"it skills,data science,machine learning,artificial intelligence,cloud,devops,aws,hp data protector",30+ Days Ago,1,0,1,0,1,1,0,0
resulticks hiring - data scientist @ chennai location,RESULTICKS DIGITALS INDIA PRIVATE LIMITED,3-6 Yrs,1100000 - 1800000 PA.,Chennai,"predictive modeling,insights,logistic regression,machine learning,r program,data science,regression analysis,requirement gathering",8 Days Ago,1,0,1,0,0,0,0,0
data engineer,Cimpress,1-5 Yrs,700000 - 1100000 PA.,Remote,"java,batches,hadoop ecosystem,machine learning model,api,spark,aws,statistics",30+ Days Ago,1,0,0,0,0,0,0,0
data scientist,Alphonso Inc.,2-7 Yrs,800000 - 1100000 PA.,Bengaluru,"computer science,deep learning,usage,statistical modeling,machine learning,programming,manager technology,big data",30+ Days Ago,1,0,0,0,0,0,1,0
data scientist,IHS Markit,3-6 Yrs,1300000 - 1700000 PA.,Bangalore,"advanced analytics,machine learning,data science,nlp,sql,git,python,deep learning",30+ Days Ago,1,1,1,0,0,0,0,0
data science engineer,Falcon Smart IT,4-10 Yrs,1600000 - 2500000 PA.,Bangalore,"data science,enterprise applications,artificial intelligence,machine learning,cloud,javascript,deployment,aws",30+ Days Ago,1,0,1,0,1,0,0,0
mandiant data scientist,FireEye CyberSecurity Pvt Ltd,6-10 Yrs,1900000 - 2700000 PA.,Bangalore,"matlab,r,written,linux,verbal communication,siem,python,scala",30+ Days Ago,0,1,0,0,0,0,0,0
data scientist,Twilio,3-7 Yrs,1400000 - 1700000 PA.,Bangalore,"java,scala,data scientist,aws,machine learning,deep learning,python",30+ Days Ago,1,1,0,0,0,0,0,0
data scientist,Thoucentric Technology Pvt ltd,4-9 Yrs,1200000 - 1800000 PA.,Bangalore(HSR Layout +2),"time series,machine learning,python,pytorch,tensorflow,data science,nosql,algorithms",20 Days Ago,1,1,1,0,0,0,0,0
data scientist,HRDevi Talent Acquisition,6-10 Yrs,1800000 - 2500000 PA.,Bengaluru,"algorithms,python,c,artificial intelligence,data processing,data mining,matlab,sql",30+ Days Ago,0,1,0,0,1,0,0,0
dataiku data science studio (dss) application developer,Accenture,4-6 Yrs,1400000 - 1800000 PA.,Mumbai,"it skills,python,data science,machine learning,aws,azure,business process,vmware",15 Days Ago,1,1,1,0,0,1,0,0
data scientist,Dunzo,2-5 Yrs,700000 - 1000000 PA.,Bengaluru,"training,deep learning,backend,machine learning,production,research,python",30+ Days Ago,1,1,0,0,0,0,0,0
data scientist,Hitachi Ltd.,3-7 Yrs,1400000 - 1700000 PA.,Bangalore,"opencv,artificial intelligence,image processing,data scientist,tensor flow,natural language processing,computer vision,machine learning",30+ Days Ago,1,0,0,0,1,0,0,0
applied data scientist,Tookitaki Holding PTE LTD,2-3 Yrs,600000 - 1000000 PA.,Bangalore,"machine learning,analytical,scala,c++,python,data science,it skills,data scientist",30+ Days Ago,1,1,1,1,0,1,0,0
data scientist,cloudneeti,7-12 Yrs,2000000 - 2700000 PA.,Bangalore,"computer science,deep learning,automation,operating systems,cloud services,machine learning,network security,distribution system",30+ Days Ago,1,0,0,0,0,0,0,0
job opening for the position data engineer,Pluto seven business solutions (p) limited,1-6 Yrs,600000 - 900000 PA.,Bangalore,"python,data warehousing,sql,it skills,machine learning,cloud,aws,azure",30+ Days Ago,1,1,0,0,0,1,0,0
data scientist,CTD Techs,2-6 Yrs,800000 - 1100000 PA.,"Chennai, Bangalore","it skills,python,data science,machine learning,aws,process automation,artificial intelligence,consulting",30+ Days Ago,1,1,1,0,1,1,0,0
data science consultant,Dell,5-10 Yrs,1800000 - 2500000 PA.,Bangalore,"data science,r,python,it skills,software development,testing,machine learning,cloud",21 Days Ago,1,1,1,0,0,1,0,0
job opening for the position data engineer,Pluto seven business solutions (p) limited,2-6 Yrs,700000 - 1000000 PA.,Bangalore,"python,data warehousing,sql,it skills,machine learning,cloud,aws,azure",21 Days Ago,1,1,0,0,0,1,0,0
spark backend data engineer ai/ml us startup,CareerXperts Consulting,1-4 Yrs,600000 - 1100000 PA.,Bengaluru,"backend,spark,business analytics,agile development,web development,machine learning,scala,j2ee",30+ Days Ago,1,0,0,0,0,0,0,0
data scientist,DigilyticsAI,3-6 Yrs,1400000 - 1900000 PA.,Gurgaon,"nlp,machine learning,deep learning,pytorch,tensorflow,data science,r,artificial intelligence",22 Days Ago,1,0,1,0,1,0,0,0
data scientist,NVIDIA,3-6 Yrs,1400000 - 1900000 PA.,Bangalore,"computer science,software design,linux,networking,network operations,artificial intelligence,machine learning,troubleshooting",26 Days Ago,1,0,0,0,1,0,0,0
data scientist,MediBuddy,3-8 Yrs,1400000 - 1800000 PA.,Bangalore,"deep learning,analytical,machine learning,healthcare,information retrieval,wellness,natural language processing,operations",26 Days Ago,1,0,0,1,0,0,0,0
data scientist,o9 Solutions Management India Private Limited,2-5 Yrs,"10,00,000 - 18,00,000 PA.",Coimbatore,"it skills,python,testing,data science,machine learning,cloud,big data,tensorflow",26 Days Ago,1,1,1,0,0,1,1,0
data scientist,ELPIS IT SOLUTIONS PVT LTD,5-7 Yrs,"8,00,000 - 13,00,000 PA.",Bangalore,"it skills,java,python,data science,aws,azure,supervised learning,r",30+ Days Ago,0,1,1,0,0,1,0,0
junior data engineers,Third Eye Consulting Services & Solutions,1-2 Yrs,600000 - 1400000 PA.,Kolkata,"communication,java,data structures,sql programming,python,it skills,deep learning,analytical",30+ Days Ago,0,1,0,1,0,1,0,0
digital scientist - data science,ACIESIND PRIVATE LIMITED,2-7 Yrs,"6,00,000 - 16,00,000 PA.",Remote,"python,machine learning,sql,it skills,testing,data science,oracle,ms sql",10 Days Ago,1,1,1,0,0,1,0,0
data engineer,Inspiron Info Solutions India Pvt. Ltd,4-7 Yrs,1300000 - 1800000 PA.,Hyderabad,"matlab,r,sas,hive,python,spark,sql,pig",13 Days Ago,0,1,0,0,0,0,0,0
data scientists,Indira Securities Pvt. Ltd,5-8 Yrs,1300000 - 1900000 PA.,Indore,"distribution analysis,machine learning,hypothesis testing,anova,spss,data visualization,multivariate analysis,forecasting",14 Days Ago,1,0,0,0,0,0,0,0
data scientist,SMECLabs Trivandrum,1-3 Yrs,800000 - 1200000 PA.,Hyderabad,"san,head business development,soc,machine learning,sms,data collection,vendor,data mining",14 Days Ago,1,0,0,0,0,0,0,0
data scientist,Nokia,4-7 Yrs,1100000 - 1700000 PA.,Gurgaon,"wireless,data science,development testing,machine learning,cloud,trend forecasting,design development,power bi",14 Days Ago,1,0,1,0,0,0,0,0
data scientist,EarlySalary.com,2-7 Yrs,600000 - 1200000 PA.,Chennai,"data science,general statistics,data scientist,artificial intelligence,risk analytics,neural networks,big data,machine learning",30+ Days Ago,1,0,1,0,1,0,1,0
hiring data scientist || hanu software,Hanu Software Solutions,13-21 Yrs,1600000 - 2600000 PA.,Remote,"machine learning,deep learning,azure ml studio,it skills,python,artificial intelligence,cloud,big data",28 Days Ago,1,1,0,0,1,1,1,0
senior data scientist,CMM5 Level MNC - Permanent - Pan India,6-11 Yrs,"15,00,000 - 30,00,000 PA.","Noida, Hyderabad, Pune, Chennai, Bangalore, Mumbai (All Areas)(WFH during Covid)","machine learning,artificial intelligence,nlp,it skills,natural language processing",27 Days Ago,1,0,0,0,1,1,0,0
senior data scientist,Search Advisers Services ( GUJ ) Pvt. Ltd.  ,4-9 Yrs,1400000 - 1900000 PA.,Bangalore,"artificial intelligence,machine learning,deep learning,data analysis,sparkml,git,analytical,r",25 Days Ago,1,0,0,1,1,0,0,1
senior data scientist,Search Advisers Services ( GUJ ) Pvt. Ltd.  ,4-9 Yrs,1200000 - 1700000 PA.,Bangalore,"artificial intelligence,machine learning,deep learning,data analysis,sparkml,git,analytical,r",25 Days Ago,1,0,0,1,1,0,0,1
sr . data scientist,General Mills,12-15 Yrs,1800000 - 2800000 PA.,Mumbai,"supply chain,data analysis,version control,demand forecasting,hadoop,machine learning,business case,operations",30+ Days Ago,1,0,0,0,0,0,0,1
senior data scientist,Hexaware Technologies,9-12 Yrs,2000000 - 2600000 PA.,"Pune, Chennai, Mumbai (All Areas)(WFH during Covid)","machine learning,data science,python,it skills,cloud,oracle,ms sql,html",28 Days Ago,1,1,1,0,0,1,0,0
director/ senior director - data science at kantar,TNS - Subsidary of Kantar Group,5-10 Yrs,2000000 - 2700000 PA.,Chennai(WFH during Covid),"data science,artificial intelligence,natural language processing,computer vision,machine learning,python",30+ Days Ago,1,1,1,0,1,0,0,0
"senior data scientist, data engineering","Ryan, LLC.",4-7 Yrs,1100000 - 1800000 PA.,Hyderabad,"linux,data security,machine learning,agile,data processing,windows,open source,analytics",30+ Days Ago,1,0,0,0,0,0,0,0
senior data scientist,Innoplexus,6-11 Yrs,1600000 - 2700000 PA.,Pune,"computer science,text mining,computer vision,artificial intelligence,genomics,machine learning,life sciences,bioinformatics",30+ Days Ago,1,0,0,0,1,0,0,0
analyst: data science insights,TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,1-4 Yrs,600000 - 1100000 PA.,Chennai,"data analysis,machine learning,r shiny,powerbi,r,matplotlib,written,tableau",2 Days Ago,1,0,0,0,0,0,0,1
data analyst,Wolters Kluwer,3-6 Yrs,1200000 - 1800000 PA.,"Mumbai, Pune","computer science,data analysis,data science,analytical,machine learning,data collection,agile,data processing",5 Days Ago,1,0,1,1,0,0,0,1
hiring for data analyst and data scientist for gurgaon location,Shadow Placements  ,3-7 Yrs,"5,00,000 - 13,00,000 PA.","Noida, Gurgaon, Delhi / NCR","text analytics,data mining,data extraction,machine learning,deep learning,data science,r,data analysis",8 Days Ago,1,0,1,0,0,0,0,1
data scientist/software developer,Siemens,5-6 Yrs,1200000 - 1700000 PA.,Bangalore,"computer vision,dts,version control,analytical,consulting,machine learning,agile,data processing",30+ Days Ago,1,0,0,1,0,0,0,0
software developer - data engineer,Ramsoft Systems  Inc.,1-3 Yrs,600000 - 1300000 PA.,Bangalore,"communication skills,software development methodologies,power bi,software engineering,azure cloud,c #,computer science,javascript",30+ Days Ago,0,0,0,0,0,0,0,0
data scientist/lead data scientist (remote),NIFTEL COMMUNICATIONS PRIVATE LIMITED,3-8 Yrs,1200000 - 1900000 PA.,"Kolkata, Pune, Ahmedabad, Bangalore, Delhi / NCR, Mumbai (All Areas)","it skills,python,machine learning,cloud,aws,tableau,azure,cnn",30+ Days Ago,1,1,0,0,0,1,0,0
data science engineer - bfsi,GAMA India,3-7 Yrs,1200000 - 1800000 PA.,Bangalore,"data science,data scientist,big data,machine learning,statistics,python",14 Days Ago,1,1,1,0,0,0,1,0
data engineer,BRIJ HR SOLLUTIONS ,1-6 Yrs,600000 - 1300000 PA.,"Noida, Hyderabad, Pune, Chennai, Bangalore","data engineer,sql,python,spark coding,teradata,aws,azure,sap",9 Days Ago,0,1,0,0,0,0,0,0
data engineering application developer,Accenture,8-10 Yrs,1900000 - 2600000 PA.,Pune,"it skills,java,python,machine learning,unix,computer science,business process,consulting",30+ Days Ago,1,1,0,0,0,1,0,0
"data science/ai/ml engineer for risor infotech, panchkula, haryana",Talent  Corner HR Services Pvt Ltd,3-8 Yrs,"45,00,000 - 60,00,000 PA.","Chandigarh, Panchkula","redshift,bigquery,kafka,etl,data analysis,sql,aws,it skills",7 Days Ago,0,0,0,0,0,1,0,1
data scientist - predictive analytics,TalentStack,1-3 Yrs,800000 - 1000000 PA.,Bangalore,"it skills,java,python,data science,machine learning,predictive modeling,data scientist,data management",14 Days Ago,1,1,1,0,0,1,0,0
data scientist,Orcapod Consulting Services Private Limited  ,5-10 Yrs,1700000 - 2600000 PA.,"Pune, Bangalore","python,r,machine learning,it skills,artificial neural networks,tensorflow,predictive modeling,text mining",8 Days Ago,1,1,0,0,0,1,0,0
data scientist,Orcapod Consulting Services Private Limited  ,5-10 Yrs,1800000 - 2600000 PA.,"Pune, Bangalore","python,r,machine learning,it skills,artificial neural networks,tensorflow,predictive modeling,text mining",8 Days Ago,1,1,0,0,0,1,0,0
lead data scientist,DataTrained,2-4 Yrs,600000 - 1200000 PA.,"Noida, Bengaluru","it skills,python,machine learning,big data,tableau,computer science,computer vision,data modeling",30+ Days Ago,1,1,0,0,0,1,1,0
data scientist,Pluto7,2-4 Yrs,600000 - 1200000 PA.,Bangalore,"data analysis,prototype,business transformation,sas,gcp,analytical,artificial intelligence,machine learning",30+ Days Ago,1,0,0,1,1,0,0,1
data scientist,Cielo Talent Management Ltd,5-10 Yrs,1700000 - 2700000 PA.,Bangalore,"data science,pytorch,java,software development,linux,swing,keras,matlab",11 Days Ago,0,0,1,0,0,0,0,0
urgent opening for data scientist in a manufacturing co. in mumbai,EVOLVE TECHNOLOGIES AND SERVICES PRIVATE LIMITED ,8-12 Yrs,"12,00,000 - 22,00,000 PA.","Pune, Bangalore, Mumbai (All Areas)","product development,algorithms,gcp,artificial intelligence,build,cloud,data acquisition,machine learning",26 Days Ago,1,0,0,0,1,0,0,0
data scientist with a leading it consulting firm,visioncraft consulting  ,6-9 Yrs,1200000 - 1900000 PA.,"Pune, Bangalore, Mumbai (All Areas)(WFH during Covid)","it skills,python,data science,machine learning,predictive modeling,algorithms,segmentation,it consulting",27 Days Ago,1,1,1,0,0,1,0,0
data engineering application developer,Accenture,4-6 Yrs,1200000 - 1700000 PA.,Gurgaon,"data engineering,apache kafka,machine learning,pandas,kafka,hive,airflow,spark",30 Days Ago,1,0,0,0,0,0,0,0
data scientist & bi lead,TopGear Consultants Pvt Ltd. ,9-14 Yrs,1900000 - 2500000 PA.,"Mumbai, Pune","business intelligence,python,big data,r,exploratory data analysis,data science,spark,hadoop",8 Days Ago,0,1,1,0,0,0,1,1
data scientist & bi lead,TopGear Consultants Pvt Ltd. ,9-14 Yrs,1800000 - 2500000 PA.,"Mumbai, Pune","business intelligence,python,big data,r,exploratory data analysis,data science,spark,hadoop",8 Days Ago,0,1,1,0,0,0,1,1
data scientist - credit risk,Scienaptic Systems,3-8 Yrs,1400000 - 1700000 PA.,Bangalore,"it skills,python,machine learning,analytical,consulting,credit risk,data mining,open source",30+ Days Ago,1,1,0,1,0,1,0,0
lnt hiring || data scientist || mumbai & delhi (on site),Federal Soft Systems Private Limited,4-9 Yrs,1300000 - 1900000 PA.,"Mumbai, Delhi / NCR","data science,natural language processing,machine learning,web scraping",13 Days Ago,1,0,1,0,0,0,0,0
data scientist,CHANGE LEADERS CONSULTING,3-8 Yrs,1300000 - 1700000 PA.,New Delhi,"machine learning,it skills,predictive modelling,exploratory data analysis,eda,web technologies,programming,time series",14 Days Ago,1,0,0,0,0,1,0,1
data engineer - python/ms sql,Talpro,8-12 Yrs,1900000 - 2600000 PA.,"Hyderabad, Bangalore","it skills,python,machine learning,ms sql,azure,nosql,pyspark,hadoop",14 Days Ago,1,1,0,0,0,1,0,0
data scientist - insurance - iim/ iit/ nit,Huquo Consulting Pvt. Ltd,11-16 Yrs,1600000 - 2500000 PA.,Gurgaon,"data science,data scientist,artificial intelligence,data management,machine learning,statistics,analytics,python",14 Days Ago,1,1,1,0,1,0,0,0
professional - data scientist / analytics,Sutherland Global Services Inc,3-6 Yrs,1200000 - 1700000 PA.,Hyderabad,"it skills,python,testing,machine learning,tableau,power bi,statistical programming,data analysis",30+ Days Ago,1,1,0,0,0,1,0,1
data scientist - insurance - iim/ iit/ nit,Huquo Consulting Pvt. Ltd,6-10 Yrs,1800000 - 2800000 PA.,Gurgaon,"data science,data scientist,artificial intelligence,data management,machine learning,statistics,analytics,python",14 Days Ago,1,1,1,0,1,0,0,0
data scientist,Odessa,5-7 Yrs,1100000 - 1800000 PA.,Bangalore,"predictive modeling,r,business solutions,google analytics,data scientist,neural networks,data mining,text mining",30+ Days Ago,0,0,0,0,0,0,0,0
data scientist,Matrixcare India Private Limited,3-7 Yrs,1200000 - 1700000 PA.,Chennai,"pytorch,tensorflow,nltk,nlp,keras,sql server,spacy,machine learning",23 Days Ago,1,0,0,0,0,0,0,0
data scientist - azure/python/power bi,Huptech Consultancy Services,2-4 Yrs,600000 - 1100000 PA.,"Hyderabad, Bangalore","azure,power bi,python,azure ml,microsoft azure ml platform,sql,language,pyspark",30+ Days Ago,0,1,0,0,0,0,0,0
data scientist -mumbai /bangalore -only from product based company,EVOLVE TECHNOLOGIES AND SERVICES PRIVATE LIMITED ,3-8 Yrs,1200000 - 1700000 PA.,"Bangalore, Mumbai (All Areas)","product development,data science,algorithms,gcp,artificial intelligence,build,cloud,data acquisition",26 Days Ago,0,0,1,0,1,0,0,0
data scientist - ii,General Mills,3-8 Yrs,1400000 - 1800000 PA.,Mumbai,"supply chain,computer science,automation,data analysis,analytical,machine learning,html,data mining",30+ Days Ago,1,0,0,1,0,0,0,1
data scientist,NEEMTREE INTERNET PVT LTD,3-6 Yrs,1200000 - 1700000 PA.,Bengaluru,"automation,sas,rf,data modeling,machine learning,data quality,business intelligence,analytics",30+ Days Ago,1,0,0,0,0,0,0,0
"technical lead, data engineer, product, tools operations, gtech",Google,3-6 Yrs,1300000 - 1700000 PA.,Gurgaon,"machine learning,it skills,computer science,c++,performance management,data processing,troubleshooting,analytics",30+ Days Ago,1,0,0,0,0,1,0,0
manager - artificial intelligence/data scientist - bfsi,Dimensions HRD Consultants,15-20 Yrs,2000000 - 4000000 PA.,"Mumbai, Navi Mumbai","data science,predictive modeling,nlp,artificial intelligence,data scientist,data management,machine learning,statistics",14 Days Ago,1,0,1,0,1,0,0,0
data scientist,First Employer,4-8 Yrs,1400000 - 1700000 PA.,"Gurgaon, Delhi / NCR","machine learning,r,python,it skills,data science,cloud,linear regression,clustering",4 Days Ago,1,1,1,0,0,1,0,0
data science intern,Relinns,0-1 Yrs,300000 - 600000 PA.,Mohali,"python,rest apis,analytics,python framework,django,it skills,data science,machine learning",30+ Days Ago,1,1,1,0,0,1,0,0
"data engineer, gtech product & tools operations",Google,2-4 Yrs,700000 - 900000 PA.,Gurgaon,"computer science,c++,automation,performance management,machine learning,troubleshooting,analytics,product support",30+ Days Ago,1,0,0,0,0,0,0,0
associate data scientist,Innoplexus,2-7 Yrs,700000 - 1000000 PA.,Pune,"computer science,text mining,computer vision,image processing,artificial intelligence,machine learning,life sciences,bioinformatics",30+ Days Ago,1,0,0,0,1,0,0,0
data scientist,Innoplexus,4-8 Yrs,1200000 - 1800000 PA.,Pune,"computer science,text mining,computer vision,image processing,artificial intelligence,machine learning,life sciences,bioinformatics",30+ Days Ago,1,0,0,0,1,0,0,0
excellent opportunity for data scientist in pune for a mnc,Peoplefy Infosolutions Pvt. Ltd.  ,6-11 Yrs,"6,00,000 - 15,00,000 PA.",Pune,"data science,python,machine learning,r,ml,sql,it skills",6 Days Ago,1,1,1,0,0,1,0,0
excellent opportunity for data scientist in pune for a mnc,Peoplefy Infosolutions Pvt. Ltd.  ,6-11 Yrs,"6,00,000 - 15,00,000 PA.",Pune,"data science,python,machine learning,ml,r,sql,it skills",7 Days Ago,1,1,1,0,0,1,0,0
principal - data scientist,TVS Motor,6-11 Yrs,1700000 - 2700000 PA.,Hosur,"development management,tqm,project management,machine learning,middle level management,data analytics,manager quality control,scientist 1",30+ Days Ago,1,0,0,0,0,0,0,0
data science intern,newAmps consulting pvt. ltd.,0-1 Yrs,500000 - 700000 PA.,Kolkata,"data science,intern,artificial intelligence,machine learning,javascript,natural language processing,internship,python",30+ Days Ago,1,1,1,0,1,0,0,0
data scientist and data engineer,Squircle IT Consulting Services Pvt Ltd,3-7 Yrs,1400000 - 1800000 PA.,Chennai,"product management,algorithms,prototype,data modeling,machine learning,algorithm development,grammar,subject matter expert",30+ Days Ago,1,0,0,0,0,0,0,0
data scientist,Cyient,4-8 Yrs,1200000 - 1800000 PA.,Hyderabad,"image processing,computer vision,machine learning,it skills,java,j2ee,python,data science",30+ Days Ago,1,1,1,0,0,1,0,0
data science intern,newAmps consulting pvt. ltd.,0-3 Yrs,500000 - 700000 PA.,Kolkata,"data science,intern,artificial intelligence,machine learning,javascript,natural language processing,internship,python",30+ Days Ago,1,1,1,0,1,0,0,0
data scientist - python/spark/neural networks,Huquo Consulting Pvt. Ltd,7-11 Yrs,1600000 - 2500000 PA.,Gurgaon,"neural networks,spark,python,it skills,software development,data science,machine learning,tensorflow",13 Days Ago,1,1,1,0,0,1,0,0
python trainer & data science trainer,CQS TRAINING PRIVATE LIMITED ,0-4 Yrs,"2,50,000 - 3,00,000 PA.",New Delhi(B1 Block Janakpuri),"python,c++,c,power bi,artificial intelligence,tableau,sql server,machine learning",16 Days Ago,1,1,0,0,1,0,0,0
associate vice president - data scientist - iit/ nit/ iim/ xlri,Huquo Consulting Pvt. Ltd,8-12 Yrs,1700000 - 2500000 PA.,Gurgaon,"it skills,java,python,machine learning,cloud,big data,data science,tensorflow",14 Days Ago,1,1,1,0,0,1,1,0
data scientist/nlp engineer,NISC Exports Services (p) Ltd,2-7 Yrs,700000 - 1400000 PA.,Hyderabad,"computer science,automation,metadata,publishing,machine learning,roc,agile,natural language processing",30+ Days Ago,1,0,0,0,0,0,0,0
data engineer: big data,IBM,12-15 Yrs,1800000 - 2500000 PA.,Hyderabad,"architecture,enterprise architecture,machine learning,manager technology,information retrieval,natural language processing,open source,business operations",22 Days Ago,1,0,0,0,0,0,0,0
data scientist - digital marketing solutions,OPTIONS INDIA GROUP,3-8 Yrs,1200000 - 1900000 PA.,Kolkata,"data analytics,data mining,artificial intelligence,machine learning,matlab,r,machine learning algorithms,big data analytics",14 Days Ago,1,0,0,0,1,0,1,0
data engineer - i,Agrostar,2-4 Yrs,600000 - 1100000 PA.,Pune,"hadoop,data management,big data,neural networks,mongodb,data modeling,aws,machine learning",30+ Days Ago,1,0,0,0,0,0,1,0
data science intern,Sankhkyiki Robotics,0-1 Yrs,400000 - 700000 PA.,Mumbai,"machine learning,it skills,data science,artificial intelligence,computer vision,intern,big data analytics,natural language processing",30+ Days Ago,1,0,1,0,1,1,1,0
data scientist: advanced analytics,IBM,5-10 Yrs,1900000 - 2800000 PA.,Kolkata,"it skills,data science,machine learning,training,advanced analytics,interpersonal skills,circuit designing,consulting",26 Days Ago,1,0,1,0,0,1,0,0
data scientist manufacturing systems and industry 4.0,Philips India Limited,5-9 Yrs,1400000 - 1800000 PA.,Pune,"computer science,data science,data modeling,analytical,machine learning,healthcare,data mining,analytics",27 Days Ago,1,0,1,1,0,0,0,0
sr. manager 1 - data science,Walmart,6-10 Yrs,1600000 - 2600000 PA.,Bangalore,"computer science,coding,machine learning,scala,agile,open source,stakeholder management,forecasting",13 Days Ago,1,0,0,0,0,0,0,0
senior data scientist (m/f/d),Adidas,5-10 Yrs,1800000 - 2700000 PA.,"Gurgaon, United States (USA)","data analysis,team management,data management,database design,machine learning,agile,data structures,test cases",30+ Days Ago,1,0,0,0,0,0,0,1
data scientist jr/mid/senior,AGILITY HUMAN RESOURCE MANAGEMENT SERVICES PRIVATE   LIMITED,6-11 Yrs,1600000 - 2700000 PA.,"Delhi / NCR, Mumbai (All Areas)","hadoop,r,nlp,sci - kit,machine learning,python,tensorflow,opennlp",Today,1,1,0,0,0,0,0,0
senior data engineer 1,Adidas,5-10 Yrs,1600000 - 2800000 PA.,Gurgaon,"data analysis,team management,data management,database design,machine learning,agile,data structures,test cases",30+ Days Ago,1,0,0,0,0,0,0,1
